"id","name","terms"
"d016918","arthritis reactive","arthritides reactive;reactive arthritides;arthritis post-infectious;arthritides post-infectious;arthritis post infectious;post-infectious arthritides;post-infectious arthritis;post infectious arthritis;postinfectious arthritis;arthritis postinfectious;arthritides postinfectious;postinfectious arthritides;reiter syndrome;reiters disease;reiters disease;reiters syndrome;reiters syndrome;reiter disease"
"d001170","arthritis infectious","arthritis viral;viral arthritis;arthritis bacterial;bacterial arthritides;arthritis septic;septic arthritis;arthritides bacterial;bacterial arthritis;arthritis suppurative;suppurative arthritis"
"d058345","asymptomatic infections","asymptomatic infection;infection asymptomatic;subclinical infections;infection subclinical;infections subclinical;subclinical infection"
"d006483","hemorrhagic septicemia","haemorrhagic septicaemia;hemorrhagic septicaemia;haemorrhagic septicemia;hemorrhagic bacteremia;haemorrhagic bacteremia;bacteremia hemorrhagic"
"d016470","bacteremia",""
"d020852","lyme neuroborreliosis","lyme disease nervous system;neuroborreliosis borrelia burgdorferi;borrelia burgdorferi neuroborreliosis;neuroborrelioses borrelia burgdorferi;lyme borreliosis nervous system;nervous system lyme disease;nervous system lyme borreliosis;encephalopathy lyme disease;encephalopathies lyme disease;lyme disease encephalopathies;lyme disease encephalopathy;lyme disease mononeuritis multiplex;mononeuritis multiplex lyme disease;peripheral nervous system lyme disease;lyme meningoradiculitis;meningoradiculitis lyme;lyme polyradiculitis;lyme polyradiculitides;polyradiculitides lyme;polyradiculitis lyme;lyme polyradiculopathy;lyme polyradiculopathies;polyradiculopathies lyme;polyradiculopathy lyme;central nervous system lyme disease;lyme disease central nervous system;lyme meningoencephalitis;meningoencephalitis lyme"
"d020814","meningitis escherichia coli","escherichia coli meningitides;meningitides escherichia coli"
"d008583","meningitis haemophilus","haemophilus meningitides;meningitides haemophilus;meningitis hemophilus;hemophilus meningitides;hemophilus meningitis;meningitides hemophilus;meningitis hemophilus influenzae type f;haemophilus parainfluenzae meningitides;haemophilus parainfluenzae meningitis;meningitides haemophilus parainfluenzae;haemophilus influenzae meningitis type b;type b hemophilus influenzae meningitis;meninigitis hib;hib meninigitis;type b haemophilus influenzae meningitis;hemophilus influenzae meningitis type b;meningitis hemophilus influenzae type b"
"d008584","meningitis listeria","listeria meningitides;meningitides listeria;listeria monocytogenes meningitis;listeria monocytogenes meningitides;meningitides listeria monocytogenes;meningoencephalitis listeria;listeria meningoencephalitides;meningoencephalitides listeria;listeria meningoencephalitis;listeria cerebritis;cerebritides listeria;cerebritis listeria;listeria cerebritides"
"d008585","meningitis meningococcal","meningitis meningococcic;serogroup y meningococcal meningitis;meningococcal meningitis serogroup y;serogroup c meningococcal meningitis;meningococcal meningitis serogroup c;serogroup w135 meningococcal meningitis;meningococcal meningitis serogroup w135;meningococcal meningitis serogroup w-135;meningococcal meningitis serogroup w 135;serogroup w-135 meningococcal meningitis;serogroup w 135 meningococcal meningitis;serogroup a meningococcal meningitis;meningococcal meningitis serogroup a;serogroup b meningococcal meningitis;meningococcal meningitis serogroup b"
