"name","code","majorComponents"
"Almond oil","E00235",""
"Amyris oil","E00561","Valerianol;beta-Eudesmol"
"Anise oil","E00712","Anethole"
"Basil oil","E00244","Estragole"
"Bay oil","E00245","Eugenol"
"Bergamot oil","E00559","Limonene"
"Bitter orange oil","E00562","Limonene"
"Black pepper oil","E00246","Sabinene;Limonene"
"Cananga oil","E00563","Sesquiterpenes"
"Caraway oil","E00237","(+)-Carvone"
"Cardamom oil","E00238","alpha-Terpinyl;1,8-Cineole"
"Cassia oil","E00650","Cinnamaldehyde"
"Castor oil","E00049",""
"Cedarleaf oil","E00656","alpha-Thujone"
"Cedarwood oil (Texas)","E00657","Thujopsene"
"Cedarwood oil (Virginia)","E00714","Thujopsene"
"Cinnamon leaf oil","E00733","Eugenol"
"Cinnamon oil","E00085","Cinnamaldehyde"
"Citronella oil (Ceylon)","E00715","Citronellal"
"Citronella oil (Java)","E00557","Citronellal"
"Clary sage oil","E00659","Linalyl"
"Clove oil","E00182","Eugeniin"
"Coriander oil","E00661","Linalool"
"Eucalyptus oil","E00044","Eucalyptol"
"Fennel oil","E00023","Anethole"
"Galbanum oil","E00663","beta-Pinene"
"Geranium oil","E00556","Citronellol"
"Ginger oil","E00664","Zingiberene"
"Grapefruit Oil","E00560","Limonene"
"Jasmine oil","E00552","Isophytol;Benzyl;Benzyl"
"Juniper oil","E00668","Limonene"
"Labdanum oil","E00671","alpha-Pinene"
"Lavandin oil","E00555","Linalyl;Linalool"
"Lavender oil","E00554","Linalyl;Linalool"
"Lemon oil","E00240","Limonene;1,8-Cineole;cis-beta-Ocimene"
"Lime oil","E00558","Limonene"
"Mentha oil","E00048","l-Menthol"
"Myrrh oil","E00677","Sesquiterpenoids"
"Neroli oil","E00553","Linalool"
"Nutmeg oil (Indonesia)","E00680","alpha-Pinene"
"Oakmoss oil (Yugoslavia)","E00681",""
"Olibanum oil","E00682","alpha-Pinene"
"Olibanum oil (Somalia)","E00716","Octyl"
"Orange oil","E00039","Limonene"
"Origanum oil","E00687","Carvacrol"
"Orris oil","E00717","alpha-Irone"
"Osmanthus","E00718","cis-Linalool;trans-Linalool"
"Palmarosa oil (India)","E00719","Geraniol"
"Patchouli oil","E00720","Patchouli"
"Peppermint oil","E00241","l-Menthol"
"Petitgrain bigarade oil","E00721","Linalyl"
"Pimento berry oil","E00722","Eugenol"
"Pine oil","E00723","Terpineol"
"Roman chamomile oil","E00724","3-Methylpentyl"
"Rose oil","E00242","Citronellol"
"Rosemary oil","E00725","p-Cymene;Limonene"
"Rosewood oil","E00247","Linalool"
"Sage oil (Dalmatian)","E00726","Thujone"
"Sage oil (Spanish)","E00738","Camphor;Cineole"
"Sandalwood oil (East Indian)","E00727","alpha-Santalol"
"Spearmint oil","E00728","Carvone"
"Spike oil","E00729","1,8-Cineole"
"Star anise oil (China)","E00236","Anethole"
"Star anise oil (Vietnam)","E00713","Anethole"
"Tagetes oil","E00730","cis-beta-Ocimene"
"Thyme oil","E00731","Thymol;p-Cymene"
"Tobacco oil","E00732",""
"Tolu balsam","E00234",""
"Turpentine oil","E00734","alpha-Pinene;beta-Pinene"
"Vetiver oil","E00735","Zizanol"
"Wintergreen oil","E00736","Methyl"
"Ylang Ylang oil","E00737","Benzyl"
