"id","name","terms"
"d060729","coal ash","coal ash;ash coal;soft coal fly ash;oil fly ash;ash oil fly;fly ash oil;rofa pollutant;pollutant rofa;bottom ash;ash bottom;fly ash;ash fly"
"d019443","cosmic dust","cosmic dust;cosmic dusts;dust cosmic;dusts cosmic;interstellar dust;dust interstellar;dusts interstellar;interstellar dusts;interplanetary dust;dust interplanetary;dusts interplanetary;interplanetary dusts"
"d004391","dust","dust;house dust;dust house;housedust"
"d012905","smog",""
"d053260","soot","soot;carbon black;black carbon"
"d014028","tobacco smoke pollution","tobacco smoke pollution;pollution tobacco smoke;pollutions tobacco smoke;smoke pollution tobacco;smoke pollutions tobacco;tobacco smoke pollutions;environmental tobacco smoke pollution;environmental smoke pollution tobacco;air pollution tobacco smoke;environmental pollution tobacco smoke;smoking passive;passive smokings;smokings passive;secondhand smoking;secondhand smokings;smoking secondhand;smokings secondhand;second hand smoke;hand smoke second;hand smokes second;second hand smokes;smoke second hand;smokes second hand;secondhand smoke;secondhand smokes;smoke secondhand;smokes secondhand;involuntary smoking;involuntary smokings;smoking involuntary;smokings involuntary;passive smoking"
"d012906","smoke",""
"d052638","particulate matter","particulate matter;ultrafine fibers;airborne particulate matter;particulate matter airborne;air pollutants particulate;particulate air pollutants;ambient particulate matter;particulate matter ambient;ultrafine particulate matter;particulate matter ultrafine;ultrafine particles;particles ultrafine"
"d000075182","agent orange","agent orange;orange agent;24-dichlorophenoxyacetic acid butyl ester mixt with butyl 245-trichlorophenoxyacetate;24-d - 245-t mixture"
"d000072317","polychlorinated dibenzodioxins","polychlorinated dibenzodioxins;dibenzodioxins polychlorinated;polychlorinated dibenzo-p-dioxins;dibenzo-p-dioxins polychlorinated;polychlorinated dibenzo p dioxins;chlorinated dibenzo-p-dioxins;chlorinated dibenzo p dioxins;dibenzo-p-dioxins chlorinated;polychlorinated dibenzodioxin;dibenzodioxin polychlorinated;polychlorodibenzo-4-dioxin;polychlorodibenzo 4 dioxin;pcdd;polychlorodibenzo-p-dioxin;polychlorodibenzo p dioxin;tetrachlorodibenzodioxin;tetrachlorodibenzo-p-dioxin;tetrachlorodibenzo p dioxin;2378-tetrachlorodibenzo-p-dioxin;tcdd;dibenzobe14dioxin 2378-tetrachloro-"
"d004147","dioxins",""
"d000077261","carvedilol","carvedilol;carvedilol hydrochloride;dilatrend;querto;eucardic;carvedilol s-isomer;kredex;bm 14190;bm-14190;bm14190;carvedilol r-isomer;carvedilol -isomer;carvedilol;carvedilol --isomer;carvedilol --isomer;carvedilol -;carvedilol 14c-labeled;14c-labeled carvedilol;carvedilol 14c labeled;coropres;coreg"
"d004611","ellipticines",""
"d017294","ondansetron","ondansetron;ondansetron --isomer;4h-carbazol-4-one 1239-tetrahydro-9-methyl-3-2-methyl-1h-imidazol-1-ylmethyl-;ondansetron hydrochloride;hydrochloride ondansetron;ondansetron monohydrochloride;monohydrochloride ondansetron;ondansetron monohydrochloride dihydrate;dihydrate ondansetron monohydrochloride;monohydrochloride dihydrate ondansetron;gr38032f;gr-38032f;gr 38032f;ondansetron s-isomer;sn-307;sn 307;sn307;zofran;ondansetron r-isomer"
"d019311","staurosporine","staurosporine;812-epoxy-1h8h-27b12a-triazadibenzoagcyclononacdetrinden-1-one 239101112-hexahydro-9-methoxy-8-methyl-10-methylamino- 8alpha9beta10beta12alpha--"
"d002227","carbazoles",""
"d006246","harmaline","harmaline;dihydroharmine;harmidine;3h-pyrido34-bindole 49-dihydro-7-methoxy-1-methyl-"
"d006247","harmine","harmine;yageine;leucoharmine;telepathine;9h-pyrido34-bindole 7-methoxy-1-methyl-;banisterine"
"d000068581","tadalafil","tadalafil;pyrazino1216pyrido34-bindole-14-dione 6-13- benzodioxol-5-yl-23671212a-hexahydro-2-methyl- 6r12ar-;ic351;ic-351;ic 351;cialis"
"d002243","carbolines","carbolines;pyrido43-bindoles;beta-carbolines;beta carbolines"
"d002937","cinoxacin","cinoxacin;clinoxacin;azolinic acid;acid azolinic;compound 64716;cinobac"
"d003609","dactinomycin","dactinomycin;meractinomycin;actinomycin d;actinomycin;cosmegen;cosmegen lyovac;lyovac cosmegen;lyovac-cosmegen;lyovac cosmegen;lyovaccosmegen"
"d000078330","oxcarbazepine","oxcarbazepine;1011-dihydro-10-oxo-5h-dibenzbfazepine-5-carboxamide;trileptal;timox;gp 47680"
"d002220","carbamazepine","carbamazepine;carbamazepine acetate;carbamazepine dihydrate;carbamazepine hydrochloride;carbamazepine l-tartrate 41;carbamazepine anhydrous;carbamazepine sulfate 21;carbazepin;epitol;finlepsin;neurotol;tegretol;amizepine;carbamazepine phosphate"
"d002997","clomipramine","clomipramine;chlomipramine;chlorimipramine;hydiphen;clomipramine maleate 11;clomipramine monohydrochloride;monohydrochloride clomipramine;anafranil;clomipramine hydrochloride;hydrochloride clomipramine"
"d003024","clozapine","clozapine;clozaril;leponex"
"d003891","desipramine","desipramine;desmethylimipramine;demethylimipramine;desipramine hydrochloride;hydrochloride desipramine;norpramin;ratio-desipramine;ratio desipramine;nu-desipramine;nu desipramine;pertofrane;pertrofran;pertofran;petylyl;pms-desipramine;pms desipramine;apo-desipramine;apo desipramine;novo-desipramine;novo desipramine"
"d007099","imipramine","imipramine;norchlorimipramine;imidobenzyle;imizin;tofranil;janimine;melipramine;pryleugan;imipramine pamoate;44-methylenebis3-hydroxy-2-naphthoic acid-3-1011-dihydro-5h-dibenzobfazepin-5-yl-nn-dimethyl-1-propanamine 12;imipramine hydrochloride;imipramine monohydrochloride"
"d008127","lofepramine","lofepramine;lopramine;gamanil;deftan;gamonil;lofepramine hydrochloride;hydrochloride lofepramine;lomont;feprapax;leo 640"
"d008803","mianserin","mianserin;mianserin hydrochloride;hydrochloride mianserin;mianserin monohydrochloride;monohydrochloride mianserin;tolvon;lerivon;org gb 94"
"d000078785","mirtazapine","mirtazapine;6-azamianserin;6 azamianserin;org 3770;org-3770;org3770;rexer;remeron;norset;remergil;zispin;esmirtazapine;s-mirtazapine;org 50081;n-methyl-11cmirtazapine"
"d009888","opipramol","opipramol;insidon;opipramol hydrochloride;hydrochloride opipramol"
"d014299","trimipramine","trimipramine;trimeprimine;1011 dihydro-nnbeta-trimethyl-5h-dibenzbfazepine-5-propanamine;trimipramine --isomer;herphonal;trimineurin;novo-tripramine;novo tripramine;novotripramine;nu-trimipramine;nu trimipramine;nutrimipramine;rhotrimine;stangyl;surmontil;surmontil maleate;trimidura;trimineurin maleate;trimipramin azu;trimipramin beta;beta trimipramin;trimipramin stada;trimipramin-neurazpharm;trimipramin neurazpharm;trimipraminneurazpharm;trimipramine maleate;trimipramine maleate 11;trimipramine maleate 11 -isomer;trimipramine maleate 11 --isomer;trimipramine maleate 11 --isomer;trimipramine mesylate;trimipramine monohydrochloride;trimipramine --isomer;eldoral;apo-trimip;apo trimip;apotrimip"
"d003984","dibenzazepines",""
"d000072338","dibenzofurans polychlorinated","dibenzofurans polychlorinated;polychlorinated dibenzofurans;chlorinated dibenzofurans;dibenzofurans chlorinated;chlorodibenzofurans"
"d000072318","dibenzofurans","dibenzofurans;furans dibenzo"
"d000069348","quetiapine fumarate","quetiapine fumarate;ethanol 2-2-4-dibenzobf14thiazepin-11-yl-1-piperazinylethoxy- e-2-butenedioate 21 salt;seroquel;ici 204636;ici-204636;ici204636;ici 204636;quetiapine;2-2-4-dibenzobf14thiazepine-11-yl-1-piperazinylethoxyethanol"
"d003987","dibenzothiazepines",""
"d004308","dothiepin","dothiepin;dosulepin;prothiaden;dothiepin hydrochloride;hydrochloride dothiepin"
"d008719","methiothepin","methiothepin;metitepine;methiothepine;methiothepin maleate;maleate methiothepin"
"d003988","dibenzothiepins",""
"d012531","dibenzbf14oxazepine-1011h-carboxylic acid 8-chloro- 2-acetylhydrazide","dibenzbf14oxazepine-1011h-carboxylic acid 8-chloro- 2-acetylhydrazide;sc-19220"
"d000657","amoxapine","amoxapine;2-chloro-11-1-piperazinyldibenzbf14oxazepine;desmethylloxapine;cl-67772;cl 67772;cl67772;demolox;asendin;dfanyl;asendis"
"d008152","loxapine","loxapine;2-chloro-11-4-methyl-1-piperazinyl-dibenzbf14oxazepine;oxilapine;cloxazepine;loxapine hydrochloride;hydrochloride loxapine;loxitane;loxapine succinate;succinate loxapine;loxapinsuccinate;loxipine succinate;loxipine maleate;maleate loxipine;cl-71563;cl 71563;cl71563;loxapine monohydrochloride"
"d003989","dibenzoxazepines",""
"d004316","doxepin","doxepin;deptran;desidox;doneurin;doxepia;doxepin beta;doxepin hydrochloride;hydrochloride doxepin;doxepin hydrochloride cis-trans isomer mixture approximately 15;doxepin-rph;doxepin rph;espadox;mareen;novo-doxepin;novo doxepin;prudoxin;quitaxon;sinequan;sinquan;zonalon;xepin;aponal;apo-doxepin;apo doxepin;apodoxepin"
"d000069605","olopatadine hydrochloride","olopatadine hydrochloride;hydrochloride olopatadine;kw-4943a;kw 4943a;kw4943a;olopatadine;11-3-dimethylaminopropylidene-611-dihydrodibenzbeoxepin-2-acetic acid;kw 4679;4679 kw;kw-4679;patanol"
"d003990","dibenzoxepins",""
"d005182","flavin-adenine dinucleotide","flavin-adenine dinucleotide;dinucleotide flavin-adenine;flavin adenine dinucleotide;fad;flavitan"
"d005486","flavin mononucleotide","flavin mononucleotide;mononucleotide flavin;riboflavin 5-phosphate;5-phosphate riboflavin;riboflavin 5 phosphate;riboflavin 5-monophosphate;5-monophosphate riboflavin;riboflavin 5 monophosphate;fmn;riboflavin mononucleotide;mononucleotide riboflavin;flavin mononucleotide sodium salt;sodium riboflavin phosphate;phosphate sodium riboflavin;riboflavin phosphate sodium;flavin mononucleotide monosodium salt dihydrate;flavin mononucleotide disodium salt;flavin mononucleotide monosodium salt"
"d012256","riboflavin","riboflavin;vitamin g;vitamin b2;vitamin b 2"
"d005415","flavins",""
"d053119","benzophenanthridines",""
"d004996","ethidium","ethidium;ethidium bromide;bromide ethidium;homidium bromide;bromide homidium;novidium"
"d011419","propidium","propidium;propidium iodide;iodide propidium;propidium diiodide;diiodide propidium"
"d010617","phenanthridines",""
"d010618","phenanthrolines",""
"d002991","clofazimine","clofazimine;n5-bis4-chlorophenyl-35-dihydro-3-1-methylethylimino-2-phenazinamine;lamprene;b-663;b 663;b663;g-30320;g 30320;g30320"
"d008773","methylphenazonium methosulfate","methylphenazonium methosulfate;methosulfate methylphenazonium;phenazine methosulfate;methosulfate phenazine;5-methylphenazinium methyl sulfate;5 methylphenazinium methyl sulfate;methyl sulfate 5-methylphenazinium;sulfate 5-methylphenazinium methyl"
"d009499","neutral red","neutral red;red neutral;toluylene red;red toluylene;nuclear fast red basic dye;ci basic red 5"
"d011710","pyocyanine","pyocyanine;pyocyanin"
"d010619","phenazines",""
"d005363","ficusin","ficusin;psoralene;psoralen"
"d007666","khellin","khellin;visammin"
"d008730","methoxsalen","methoxsalen;xanthotoxin;8-methoxypsoralen;8 methoxypsoralen;ammoidin;deltasoralen;dermox;geroxalen;meladinina;methoxa-dome;methoxa dome;oxsoralen;mladinine;meladinine;oxsoralen-ultra;oxsoralen ultra;puvalen;ultramop;8-mop;8 mop;8mop;meloxine"
"d000078223","5-methoxypsoralen","5-methoxypsoralen;5 methoxypsoralen;bergapten;5-methoxy psoralen;5 methoxy psoralen;pentaderm"
"d014307","trioxsalen","trioxsalen;trioxysalen;trioxisalenum;458-trimethylpsoralen;259-trimethyl-7h-furo32-gbenzopyran-7-one;trimethylpsoralen;trisoralen;nsc-71047;nsc 71047;nsc71047"
"d011564","furocoumarins","furocoumarins;furanocoumarins;angelicins;psoralens"
"d002746","chlorpromazine","chlorpromazine;thorazine;aminazine;largactil;chlordelazine;chlorpromazine hydrochloride;hydrochloride chlorpromazine;contomin;fenactil;propaphenin;chlorazine"
"d005476","fluphenazine","fluphenazine;flufenazin;fluphenazine hydrochloride;hydrochloride fluphenazine;lyogen;prolixin"
"d008653","mesoridazine","mesoridazine;serentil"
"d008728","methotrimeprazine","methotrimeprazine;levopromazine;levomeprazin;levomepromazine;tisercin;tizercine;tizertsin"
"d008751","methylene blue","methylene blue;blue methylene;methylthioninium chloride;methylthionine chloride;swiss blue;blue swiss;basic blue 9;blue 9 basic;methylene blue n;blue n methylene;chromosmon;urolene blue;blue urolene"
"d016293","moricizine","moricizine;moracizine;moracizin;moricizine hydrochloride;hydrochloride moricizine;en-313;en 313;en313;ethmozine;etmozin;ethmozin"
"d009628","nonachlazine","nonachlazine;nonakhlazin;azaclorzine;nonachlazin"
"d010464","perazine","perazine;pernazine;taxilan;perazine maleate 11;perazine maleate 12;perazine dihydrochloride;dihydrochloride perazine;perazine maleate;maleate perazine"
"d010546","perphenazine","perphenazine;perfenazine;chlorpiprazine;trilafon"
"d011346","prochlorperazine","prochlorperazine;prochlorperazine edisylate salt;edisylate salt prochlorperazine;salt prochlorperazine edisylate;prochlorperazine edisylate;edisylate prochlorperazine;prochlorperazine maleate;maleate prochlorperazine;compazine"
"d011395","promazine","promazine;sparine;sinophenin;promazine hydrochloride;hydrochloride promazine;protactyl"
"d011398","promethazine","promethazine;prometazin;proazamine;rumergan;diprazin;isopromethazine;phenergan;phenargan;phensedyl;pipolfen;pipolphen;promet;promethazine hydrochloride;hydrochloride promethazine;prothazin;pyrethia;remsed;atosil;diphergan"
"d013847","thiethylperazine","thiethylperazine;torecan;thiethylperazine maleate 21;norzine;thiethylperazine malate"
