"id","name","terms"
"d002629","chemosterilants",""
"d005659","fungicides industrial","fungicides industrial;industrial fungicides"
"d003678","defoliants chemical","defoliants chemical;chemical defoliants"
"d006540","herbicides","herbicides;algicides;algaecides"
"d007302","insect repellents","insect repellents;repellents insect"
"d007306","insecticides",""
"d008975","molluscacides",""
"d010573","pesticide residues","pesticide residues;pesticide residue;residue pesticide;residues pesticide"
"d010574","pesticide synergists","pesticide synergists;synergists pesticide"
"d012378","rodenticides",""
"d010575","pesticides",""
"d056810","acaricides","acaricides;miticide;mite control agent;agent mite control;control agent mite"
"d000171","acrolein","acrolein;acraldehyde;ethylene aldehyde;aldehyde ethylene;acrylic aldehyde;aldehyde acrylic;allyl aldehyde;aldehyde allyl;2-propenal;2 propenal;acrylaldehyde;aqualin"
"d001547","benzaldehydes",""
"d005566","formocresols",""
"d005557","formaldehyde","formaldehyde;oxomethane;methanal;formol;formalin"
"d005662","furaldehyde","furaldehyde;furfural"
"d005976","glutaral","glutaral;glutardialdehyde;glutaraldehyde;gludesin;glutarol;korsolex;sekumatic;cidex;sonacide;sporicidin;diswart;novaruca"
"d005986","glyceraldehyde 3-phosphate","glyceraldehyde 3-phosphate;glyceraldehyde 3 phosphate;3-phosphoglyceraldehyde;3 phosphoglyceraldehyde"
"d005985","glyceraldehyde",""
"d010658","phenylglyoxal",""
"d011765","pyruvaldehyde","pyruvaldehyde;methylglyoxal;pyruvic aldehyde;aldehyde pyruvic;acetylformaldehyde;oxopropanal"
"d006037","glyoxal","glyoxal;ethanedial;ethanedione"
"d017392","thiobarbituric acid reactive substances","thiobarbituric acid reactive substances;tbars"
"d008315","malondialdehyde","malondialdehyde;propanedial;malonyldialdehyde;malonaldehyde;malonylaldehyde;sodium malondialdehyde;malondialdehyde sodium"
"d000081203","monoterpene aldehydes and ketones","monoterpene aldehydes and ketones;monoterpene ketones;ketones monoterpene;monoterpene aldehydes;aldehydes monoterpene"
"d009764","o-phthalaldehyde","o-phthalaldehyde;o phthalaldehyde;orthophthaldialdehyde;o-phthaldialdehyde;o phthaldialdehyde;ortho-phthalaldehyde;ortho phthalaldehyde;ortho-phthalic aldehyde;aldehyde ortho-phthalic;ortho phthalic aldehyde"
"d012172","retinaldehyde","retinaldehyde;vitamin a aldehyde;aldehyde vitamin a;retinene;axerophthal;retinal;11-cis-retinal;11 cis retinal"
"d010242","paraldehyde",""
"d000079","acetaldehyde","acetaldehyde;ethanal"
"d000447","aldehydes",""
"d000629","aminopropionitrile","aminopropionitrile;beta-aminopropionitrile;beta aminopropionitrile;bapn"
"d000678","amygdalin","amygdalin;mandelonitrile-beta-gentiobioside;mandelonitrile beta gentiobioside;neoamygdalin;amygdaloside;laetrile"
"d000077384","anastrozole","anastrozole;22-5-1h-124-triazol-1-ylmethyl-13-phenylenebis2-methylpropionitrile;anastrazole;arimidex;ici d1033;zd-1033;zd 1033;zeneca zd 1033;zd1033"
"d002258","carbonyl cyanide m-chlorophenyl hydrazone","carbonyl cyanide m-chlorophenyl hydrazone;carbonyl cyanide meta-chlorophenyl hydrazone;carbonyl cyanide meta chlorophenyl hydrazone;cccp;carbonyl cyanide m chlorophenyl hydrazone"
"d002259","carbonyl cyanide p-trifluoromethoxyphenylhydrazone","carbonyl cyanide p-trifluoromethoxyphenylhydrazone;cyanide p-trifluoromethoxyphenylhydrazone carbonyl;p-trifluoromethoxyphenylhydrazone carbonyl cyanide;carbonyl cyanide p trifluoromethoxyphenylhydrazone;fccp;4-trifluoromethoxyphenylhydrazonopropanedinitrile;carbonyl cyanide para-trifluoromethoxyphenylhydrazone;carbonyl cyanide para trifluoromethoxyphenylhydrazone;cyanide para-trifluoromethoxyphenylhydrazone carbonyl;para-trifluoromethoxyphenylhydrazone carbonyl cyanide"
"d002015","bucrylate","bucrylate;isobutylcyanoacrylate;isobutyl cyanoacrylate;cyanoacrylate isobutyl;isobutyl-2-cyanoacrylate;isobutyl 2 cyanoacrylate;bucrilate;isobutyl alpha-cyanoacrylate;isobutyl alpha cyanoacrylate;alpha-cyanoacrylate isobutyl"
"d004659","enbucrilate","enbucrilate;enbucrilates;butyl 2-cyanacrylate;butyl 2 cyanacrylate;butyl 2-cyanacrylates;n-butyl-2-cyanoacrylate;n butyl 2 cyanoacrylate;n-butyl-2-cyanoacrylates;nbca compound;nbca compounds;n-butyl-cyanoacrylate;n butyl cyanoacrylate;n-butyl-cyanoacrylates;2-cyanobutylacrylate;2 cyanobutylacrylate;2-cyanobutylacrylates;enbucrylate;enbucrylates;chirurcoll;fimomed;histacryl;histacryls;histoacryl;histoacryls;kanokonlit;polyisobutyl cyanoacrylate;cyanoacrylate polyisobutyl;cyanoacrylates polyisobutyl;polyisobutyl cyanoacrylates;polyisobutyl cyanoacrylate;polyisobutylcyanoacrylate;polyisobutylcyanoacrylates;polybutyl cyanoacrylate;cyanoacrylate polybutyl;cyanoacrylates polybutyl;polybutyl cyanoacrylates;histoacryl n-blau;histoacryl n blau;histoacryl blue;butylcyanoacrylate;butylcyanoacrylates;enbucrilate homopolymer;enbucrilates homopolymer;ligament-fimomed"
"d003487","cyanoacrylates","cyanoacrylates;cyanoacrylate"
"d000077289","letrozole","letrozole;44-1h-124-triazol-1-yl-methylene-bisbenzonitrile;cgs 20267;cgs-20267;cgs20267;femara;fmara"
"d009763","o-chlorobenzylidenemalonitrile","o-chlorobenzylidenemalonitrile;o chlorobenzylidenemalonitrile;2-chlorobenzylidenemalonitrile;2 chlorobenzylidenemalonitrile;ortho-chlorobenzylidenemalonitrile;ortho chlorobenzylidenemalonitrile;o-chlorobenzylidene malonitrile;malonitrile o-chlorobenzylidene;o chlorobenzylidene malonitrile;o-chlorobenzylidene malonotrile;malonotrile o-chlorobenzylidene;o chlorobenzylidene malonotrile;ortho-chlorobenzylidene malonitrile;malonitrile ortho-chlorobenzylidene;ortho chlorobenzylidene malonitrile;2-chlorobenzylidene malonitrile;2 chlorobenzylidene malonitrile;malonitrile 2-chlorobenzylidene;cs tear gas;tear gas cs"
"d015283","citalopram","citalopram;cytalopram;seropram;escitalopram;celexa;lu-10-171;lu10171;citalopram hydrobromide;escitalopram oxalate;lexapro"
"d017316","fadrozole","fadrozole;cgs-16949a;cgs 16949a;cgs16949a;fadrozole hydrochloride;hydrochloride fadrozole;fadrozole monohydrochloride;monohydrochloride fadrozole;cgs 020286a;cgs020286a;cgs-020286a;fad 286;fad286;fad-286"
"d011285","pregnenolone carbonitrile","pregnenolone carbonitrile;carbonitrile pregnenolone;pregnenolone 16 alpha-carbonitrile;16 alpha-carbonitrile pregnenolone;pregnenolone 16 alpha carbonitrile;pcn;pregnenolone carbonitrile 3 beta16 beta-isomer;pregnenolone carbonitrile 3 beta-isomer"
"d000068678","emtricitabine rilpivirine tenofovir drug combination","emtricitabine rilpivirine tenofovir drug combination;emtricitabine rilpivirine tenofovir drug combination;emtricitabine-rilpivirine-tenofovir drug combination;combination emtricitabine-rilpivirine-tenofovir drug;drug combination emtricitabine-rilpivirine-tenofovir;complera"
"d000068696","rilpivirine","rilpivirine;rilpivirine hydrochloride;hydrochloride rilpivirine;rilpivirine hcl;hcl rilpivirine;r278474;tmc 278;278 tmc;tmc278;tmc-278"
"d017256","technetium tc 99m sestamibi","technetium tc 99m sestamibi;tc-99m-methoxy-2-isobutylisonitrile;tc 99m methoxy 2 isobutylisonitrile;technetium-99m-hexamibi;technetium 99m hexamibi;tc mibi;99mtc-hexamibi;99mtc hexamibi;99mtc-sestamibi;99mtc sestamibi;technetium tc 99m 2-methoxy-2-methylpropylisonitrile;technetium tc 99m 2 methoxy 2 methylpropylisonitrile;technetium-99m-sestamibi;technetium 99m sestamibi;cardiolite;technetium tc 99m sestamibi chloride"
"d020032","tyrphostins",""
"d000077597","vildagliptin","vildagliptin;2s-3-hydroxyadamantan-1-ylaminoacetylpyrrolidine-2-carbonitrile;nvp-laf237;nvp laf237;galvus"
"d000097","acetonitriles","acetonitriles;ethane nitriles;nitriles ethane;methyl cyanides;cyanides methyl;cyanomethanes"
