"id","name","terms"
"d031172","artemisia annua","artemisia annua;qinghao;sweet wormwood;sweet wormwoods;wormwood sweet;wormwoods sweet;qing hao;sweet annie;annie sweet;annies sweet;sweet annies"
"d019306","artemisia","artemisia;artemisias;sagewort;sageworts;sagebrush;sagebrushs;wormseed levant;levant wormseed;levant wormseeds;wormseeds levant;mugwort;mugworts;wormwood;wormwoods;artemisia capillaris;artemisia capillari;capillari artemisia;capillaris artemisia;artemisia dracunculus;tarragon plant;plant tarragon;plants tarragon;tarragon plants;artemisia maritima;artemisia maritimas;maritimas artemisia;artemisia vulgaris;artemisia vulgari;vulgaris artemisia;artemisia abrotanum;artemisia abrotanums;abrotanums artemisia;southernwood;southernwoods;artemisia judaica;artemisia judaicas;judaica artemisia"
"d031171","artemisia absinthium","artemisia absinthium;artemisia absinthiums;absinthiums artemisia"
"d031173","aster plant","aster plant;aster plants;plant aster;plants aster"
"d036083","atractylis","atractylis;atractyli;atractylis gummifera;atractylis gummiferas;gummiferas atractylis"
"d031174","atractylodes","atractylodes;atractylode;jutsu;jutsus;atractylodes lancea;atractylodes lanceas;lanceas atractylodes"
"d031175","baccharis","baccharis;bacchari;willow water;water willows;willows water;water willow;broom desert;brooms desert;desert broom;desert brooms"
"d031176","bidens","bidens;biden;beggarticks;beggartick;bidens pilosa;bidens pilosas;pilosa bidens"
"d020838","calendula","calendula;calendulas;calendula officinalis;calendula officinali;officinalis calendula"
"d036084","callilepis","callilepis;callilepi;callilepis laureola;callilepis laureolas;laureola callilepis;impila;impilas"
"d031177","carduus","carduus;thistle musk;musk thistle;musk thistles;thistles musk;thistle plumeless;plumeless thistle;plumeless thistles;thistles plumeless"
"d031187","carthamus tinctorius","carthamus tinctorius;safflower;safflowers"
"d031178","carthamus","carthamus;thistle distaff;distaff thistle;distaff thistles;thistles distaff"
"d031179","centaurea","centaurea;centaureas;thistle yellow star;star thistle yellow;star thistles yellow;thistles yellow star;yellow star thistle;yellow star thistles;thistle red star;red star thistle;red star thistles;star thistle red;star thistles red;thistles red star;cornflower;cornflowers;knapweed;knapweeds"
"d031167","chamaemelum","chamaemelum;chamaemelums;chamaemelum nobile;chamaemelum nobiles;nobile chamaemelum;camomile roman;roman camomile;chamomile roman;roman chamomile;anthemis nobilis;anthemis nobili;nobilis anthemis;english chamomile;chamomile english"
"d020843","chamomile","chamomile;chamomiles;camomile;camomiles;chamomile oil;chamomile oils;oil chamomile;oils chamomile"
"d018651","chicory","chicory;cichorium intybus"
"d036604","chromolaena","chromolaena;chromolaenas;chromolaena odorata;chromolaena odoratas;odorata chromolaena;eupatorium odoratum;eupatorium odoratums;odoratums eupatorium"
"d011723","chrysanthemum cinerariifolium","chrysanthemum cinerariifolium;chrysanthemum cinerariifoliums;cinerariifolium chrysanthemum;tanacetum cinerariifolium;tanacetum cinerariifoliums;cinerariifoliums tanacetum;pyrethrum;pyrethrums;chrysanthemum coccineum;chrysanthemum coccineums;coccineums chrysanthemum;pyrethum daisy;daisies pyrethum;daisy pyrethum;pyrethum daisies;tanacetum coccineum;tanacetum coccineums;coccineums tanacetum"
"d031202","chrysanthemum","chrysanthemum;chrysanthemums"
"d031180","cirsium","cirsium;cirsiums;thistle white;thistles white;white thistle;white thistles;thistle yellowspine;thistles yellowspine;yellowspine thistle;yellowspine thistles;thistle common;common thistle;common thistles;thistles common;thistle plume;plume thistle;plume thistles;thistles plume;cirsium arvense;cirsium arvenses;arvenses cirsium;thistle canadian;canadian thistle;canadian thistles;thistles canadian"
"d031181","cnicus","cnicus;thistle blessed;cardo-santo;cardo santo;cardo-santos;blessed thistle;blessed thistles;thistles blessed"
"d035401","conyza","conyza;conyzas;asthmaweed;asthmaweeds;horseweed;horseweeds"
"d031945","coreopsis","coreopsis;coreopses;dahlia sea;dahlias sea;sea dahlia;sea dahlias;tickseed;tickseeds"
"d027468","crepis","crepis;crepi;hawks beard;beard hawks;beards hawks;hawk beard;hawks beards;hawks beard;crepis capillaris;crepis capillari;capillaris crepis"
"d031943","cynara scolymus","cynara scolymus;artichoke;artichokes"
"d031942","cynara","cynara;cynaras;cynara cardunculus;cardoon;cardoons"
"d031944","dahlia","dahlia;dahlias"
"d020900","echinacea","echinacea;echinacea purpurea;coneflower purple;coneflowers purple;purple coneflower;purple coneflowers;rudbeckia purpurea;echinacea pallida;pale purple coneflower;coneflower pale purple;coneflowers pale purple;pale purple coneflowers;purple coneflower pale;purple coneflowers pale;echinacea angustifolia"
"d031182","echinops plant","echinops plant;echinops plants;plant echinops;plants echinops;thistle globe;globe thistle;globe thistles;thistles globe;echinops grijisii;echinops grijisius;grijisii echinops"
"d036601","eclipta","eclipta;ecliptas"
"d049919","erigeron","erigeron;erigerons;fleabane;fleabanes"
"d036602","eupatorium","eupatorium;eupatoriums"
"d037142","flaveria","flaveria;flaverias"
"d036621","geigeria","geigeria;geigerias"
"d036622","gnaphalium","gnaphalium;gnaphaliums"
"d036623","grindelia","grindelia;grindelias;gumplant;gumplants;gumweed;gumweeds"
"d031206","haplopappus","haplopappus;tansyaster;tansyasters"
"d006368","helianthus","helianthus;sunflower;sunflowers;helianthus annuus;jerusalem artichoke;artichoke jerusalem;helianthus tuberosus"
"d036562","helichrysum","helichrysum;helichrysums"
"d038143","inula","inula;inula racemosa;pushkarmula;pushkarmulas;pushkarmoola;pushkarmoolas;indian elecampane;elecampane indian;elecampanes indian;indian elecampanes;inula helenium;elecampane;elecampanes"
"d018545","lettuce","lettuce;lactuca sativa"
"d000078062","leucanthemum","leucanthemum;leucanthemums"
"d043843","leuzea","leuzea;leuzeas;rhaponticum;rhaponticums;leuzea carthamoides;leuzea carthamoide;carthamoides leuzea;rhaponticum carthamoides;rhaponticum carthamoide;carthamoide rhaponticum"
"d000079543","ligularia",""
"d031168","matricaria","matricaria;matricarias;mayweed crown;crown mayweed;crown mayweeds;mayweeds crown;matricaria matricarioides;matricaria matricarioide;matricarioide matricaria;pineapple weed;pineapple weeds;weed pineapple;weeds pineapple;matricaria chamomilla;matricaria chamomillas;chamomilla matricaria;chamomilla recutita;chamomilla recutitas;recutitas chamomilla;chamomile german;camomile german;german camomile;matricaria recutita;matricaria recutitas;recutitas matricaria;german chamomile"
"d035742","mikania","mikania;mikanias;guaco;guacos"
"d020944","milk thistle","milk thistle;milk thistles;thistle milk;thistles milk;carduus marianus;silybum marianum;silybum marianums;marianums silybum"
"d035924","montanoa","montanoa;montanoas;zoapatle;zoapatles;montanoa tomentosa;montanoa tomentosas;tomentosa montanoa"
"d031183","onopordum","onopordum;onopordums;thistle cotton;cotton thistle;cotton thistles;thistles cotton"
"d036901","petasites","petasites;butterbur;butterburs;coltsfoot sweet;coltsfoots sweet;sweet coltsfoot;sweet coltsfoots;petasites hybridus"
"d000070216","psacalium","psacalium;indianbush;psacalium peltatum;matarique;matariques;psacalium putlanum;psacalium decompositum;desert indianbush;indianbush desert;cacalia decomposita;odontotrichum decompositum"
"d052587","pulicaria","pulicaria;pulicarias"
"d036581","ratibida","ratibida;ratibidas;coneflower prairie;coneflowers prairie;prairie coneflower;prairie coneflowers"
"d036582","rudbeckia","rudbeckia;rudbeckias;coneflower orange;coneflowers orange;orange coneflower;orange coneflowers"
"d030441","saussurea","saussurea;saussureas;saussurea lappa;saussurea lappas;lappa saussurea;saussurea costus"
"d031185","scolymus","scolymus;thistle golden;golden thistle;golden thistles;thistles golden;salsify spanish;spanish salsify;goldenthistle;goldenthistles"
"d031186","scorzonera","scorzonera;scorzoneras;scorsonera;scorsoneras;salsify black;black salsifies;black salsify;salsifies black"
"d012674","senecio","senecio;senecios;groundsel;groundsels;ragwort;ragworts"
"d036624","solidago","solidago;goldenrod;goldenrods;golden rod;golden rods;solidago virgaurea"
"d031184","sonchus","sonchus;thistle sow;sow thistle;sow thistles;thistles sow;sonchus arvensis;sonchus arvenses;arvensis sonchus;thistle field milk;field milk thistle;field milk thistles;milk thistle field;milk thistles field;thistles field milk"
"d036625","stevia","stevia;stevias;stevia rebaudiana;stevia rebaudianas;rebaudianas stevia;sweetleaf;sweetleafs;eupatorium rebaudianum;eupatorium rebaudianums;rebaudianums eupatorium"
"d031686","tagetes","tagetes;tagete;pericon;pericons"
"d020903","tanacetum parthenium","tanacetum parthenium;tanacetum partheniums;partheniums tanacetum;feverfew;feverfews;chrysanthemum parthenium;chrysanthemum partheniums;partheniums chrysanthemum"
"d031203","tanacetum","tanacetum;tanacetums;tansy;tansies;tanacetum vulgare;tanacetum vulgares;vulgares tanacetum"
"d031205","taraxacum","taraxacum;dandelion;dandelions;taraxacum officinale"
"d000079542","tithonia",""
"d031188","tragopogon","tragopogon;tragopogons;salsify yellow;salsifies yellow;yellow salsifies;yellow salsify;tragopogon pratensis;tragopogon pratenses;pratensis tragopogon;goats beard;beard goats;beards goats;goat beard;goats beards;goats beard;tragopogon porrifolius;salsify common;common salsifies;common salsify;salsifies common"
"d031169","tripleurospermum","tripleurospermum;tripleurospermums;camomile scentless;camomiles scentless;scentless camomile;scentless camomiles;mayweed false;false mayweed;false mayweeds;mayweeds false;chamomile scentless;chamomiles scentless;scentless chamomile;scentless chamomiles;tripleurospermum perforatum;tripleurospermum perforatums;perforatums tripleurospermum;matricaria perforata;matricaria perforatas;perforatas matricaria;tripleurosperum perforatum;tripleurosperum perforatums;perforatums tripleurosperum"
"d031207","tussilago","tussilago;tussilagos;tussilago farfara;tussilago farfaras;farfaras tussilago;coltsfoot;coltsfoots"
"d031208","verbesina","verbesina;verbesinas"
"d035741","vernonia","vernonia;vernonias"
"d031209","wedelia","wedelia;wedelias"
"d031210","xanthium","xanthium;xanthiums;cocklebur;cockleburs;xanthium spinosum;xanthium spinosums;spinosums xanthium;cocklebur spiny;cockleburs spiny;spiny cocklebur;spiny cockleburs"
"d018650","arnica","arnica;arnicas;arnica montana;arnica montanas;montanas arnica;leopards bane;bane leopards;banes leopards;leopard bane;leopards banes;leopards bane;bane leopards;banes leopards;leopards banes"
"d019659","asteraceae","asteraceae;compositae;doronicum;doronicums;leopards bane false;bane false leopards;banes false leopards;false leopards bane;false leopards banes;leopard bane false;leopards banes false;leopards bane false;emilia plant;emilia plants;plant emilia;plants emilia;enhydra fluctuans;enhydra fluctuan;fluctuan enhydra;phagnalon;phagnalons;heterotheca;heterothecas;iostephane;iostephanes;ixeris;ixeri;lychnophora;lychnophoras;pseudognaphalium;pseudognaphaliums;silphium;silphiums;sphaeranthus;aspilia;aspilias;trixis;trixi;viguiera;viguieras;carpesium;carpesiums;clibadium;clibadiums"
"d031162","achillea","achillea;achilleas;yarrow;yarrows;achillea millefolium;achillea millefoliums;millefolium achillea"
