"meshID","name","terms","matched"
"","alkylphenols","","0"
"","bisphenols","","0"
"","carbamate pesticides","","0"
"d002949","citraconic anhydrides","citraconic anhydrides;anhydrides citraconic;methylmaleic anhydrides;anhydrides methylmaleic","1"
"d008299","maleic anhydrides","maleic anhydrides;anhydrides maleic;25-furandiones;25 furandiones;maleic anhydride;anhydride maleic","1"
"d010796","phthalic anhydrides","phthalic anhydrides;anhydrides phthalic","1"
"d049388","polyanhydrides","","1"
"d013387","succinic anhydrides","succinic anhydrides;anhydrides succinic","1"
"d000089","acetic anhydrides","acetic anhydrides;anhydrides acetic","1"
"d000812","anhydrides","","1"
"d000966","antimony potassium tartrate","antimony potassium tartrate;potassium tartrate antimony;tartrate antimony potassium;tartrated antimony;antimony tartrated;potassium antimonyltartrate;antimonyltartrate potassium;tartar emetic;emetic tartar","1"
"d000967","antimony sodium gluconate","antimony sodium gluconate;sodium stibogluconate;stibogluconate sodium;stibogluconate sodium;sodium stibogluconate;antimony gluconate sodium;antimony sodium gluconates;sodium gluconates antimony;myostibin;triostam;solustibosan;stibatin;antimony gluconic acid;pentostam","1"
"d002101","cacodylic acid","cacodylic acid;acid cacodylic;dimethylarsinic acid;acid dimethylarsinic;cacodylate;dimethylarsinate","1"
"d008549","melarsoprol","melarsoprol;mel b;melarsenoxid-bal;melarsenoxid bal;melarsenoxidbal;arsobal","1"
"d012406","roxarsone","roxarsone;3-nitro-4-hydroxyphenylarsonic acid;3 nitro 4 hydroxyphenylarsonic acid;acid 3-nitro-4-hydroxyphenylarsonic;3-nitro-10;3 nitro 10;3nitro10","1"
"d001147","arsanilic acid","arsanilic acid;acid arsanilic;p-aminophenylarsonic acid;acid p-aminophenylarsonic;p aminophenylarsonic acid;4-aminobenzenearsonic acid;4 aminobenzenearsonic acid;acid 4-aminobenzenearsonic;sodium arsenilate;arsenilate sodium;sodium arsanilate;arsanilate sodium;atoxyl","1"
"d001148","arsenamide","arsenamide;thioarsenite;thiacetarsamide;caparsolate","1"
"d001150","arsenazo iii","","1"
"d001152","arsenicals","arsenicals;arsenic compounds;compounds arsenic","1"
"d001153","arsphenamine","arsphenamine;arsenobenzol;sodium arsenobenzol;arsenobenzol sodium;salvarsan","1"
"d010132","p-azobenzenearsonate","p-azobenzenearsonate;p azobenzenearsonate;para-azobenzenearsonate;para azobenzenearsonate;azophenylarsonate","1"
"d000077209","decitabine","decitabine;5-aza-2-deoxycytidine;5 aza 2 deoxycytidine;5-azadc;azadc compound;compound azadc;5azadc;2-deoxy-5-azacytidine;2 deoxy 5 azacytidine;5-azadeoxycytidine;5 azadeoxycytidine;dacogen;5-deoxyazacytidine;5 deoxyazacytidine;nsc 127716;nsc-127716;nsc127716;decitabine mesylate;mesylate decitabine","1"
"d001374","azacitidine","azacitidine;5-azacytidine;5 azacytidine;azacytidine;vidaza;nsc-102816;nsc 102816;nsc102816","1"
"d001375","azaguanine","azaguanine;guanazolo;8-azaguanine;8 azaguanine","1"
"d001380","azauridine","azauridine;2-beta-d-ribofuranosyl-124-triazine-352h4h-dione;6-azauridine;6 azauridine","1"
"d017829","granisetron","granisetron;1-methyl-n-endo-9-methyl-9-azabicyclo331non-3-yl-1h-indazole-3-carboxamide;kytril;brl-43694a;brl 43694a;brl43694a;brl-43694;brl 43694;brl43694;granisetron hydrochloride;hydrochloride granisetron;granisetron monohydrochloride;monohydrochloride granisetron","1"
"d064692","hyoscyamine","hyoscyamine;atropine 3s-endo-isomer;cytospaz;hyoscyamine sulfate anhydrous;hyoscyamine hydrochloride;hyoscyamine sulfate;atropine sulfate 3s-endo-isomer;anaspaz;hyoscyamine hydrobromide","1"
"d001285","atropine","atropine;atropinol;atropine sulfate;sulfate atropine;atropine sulfate anhydrous;anhydrous atropine sulfate;sulfate anhydrous atropine;atropen;atropin augenl;augenl atropin","1"
"d000068600","albuterol ipratropium drug combination","albuterol ipratropium drug combination;albuterol-ipratropium;albuterol ipratropium;albuterol-ipratropium drug combination;albuterol ipratropium drug combination;combination albuterol-ipratropium drug;drug combination albuterol-ipratropium;combivent respimat;respimat combivent;dey combination;combination dey;combivent","1"
"d009241","ipratropium","ipratropium;endosyn---3-3-hydroxy-1-oxo-2-phenylpropoxy-8-methyl-8-1-methylethyl-8-azoniabicyclo321octane;n-isopropylatropine;n isopropylatropine;atrovent;ipratropium bromide anhydrous;ipratropium bromide endoanti-isomer;sch-1178;sch 1178;sch1178;ipratropium bromide monohydrate;ipratropium bromide endo-isomer;itrop;sch-1000;sch 1000;sch1000;ipratropium bromide;ipratropium bromide exosyn-isomer","1"
"d001286","atropine derivatives","atropine derivatives;atropines","1"
"d001590","benztropine","benztropine;benzatropine;bensylate;benzatropine methanesulfonate;methanesulfonate benzatropine;benzatropine mesylate;mesylate benzatropine;benztropine mesylate;mesylate benztropine;benzatropine methanesulfonate hydrobromide;hydrobromide benzatropine methanesulfonate;methanesulfonate hydrobromide benzatropine;pms-benztropine;pms benztropine;benzatropine methanesulfonate hydrochloride endo-isomer;cogentin;cogentinol;n-methylbenztropine;n methylbenztropine;apo-benztropine;apo benztropine;benzatropine methanesulfonate hydrobromide endo-isomer","1"
"d016578","crack cocaine","crack cocaine;cocaine crack","1"
"d003042","cocaine","cocaine;cocaine hydrochloride;hydrochloride cocaine;cocaine hcl;hcl cocaine","1"
"d009662","nortropanes","","1"
"d002086","butylscopolammonium bromide","butylscopolammonium bromide;bromide butylscopolammonium;scopolaminebutylbromide;hyoscine n-butylbromide;hyoscine n butylbromide;n-butylbromide hyoscine;n-butylscopolammonium bromide;bromide n-butylscopolammonium;n butylscopolammonium bromide;butylscopolamine;hyoscinbutylbromide;scopolan;buscopan;buscapine;buscolysin","1"
"d019832","n-methylscopolamine","n-methylscopolamine;n methylscopolamine;methscopolamine;n-methylscine methylsulfate;methylsulfate n-methylscine;n methylscine methylsulfate;n-methylscopolamine bromide;bromide n-methylscopolamine;n methylscopolamine bromide;hyoscine methobromide;methobromide hyoscine;scopolamine methylbromide;methylbromide scopolamine;n-methylscopolamine iodide;iodide n-methylscopolamine;n methylscopolamine iodide;hyoscine methiodide;methiodide hyoscine;n-methylscopolamine methylsulfate;methylsulfate n-methylscopolamine;n methylscopolamine methylsulfate;methylscopolammonium methylsulfate;methylsulfate methylscopolammonium;n-methylscopolamine nitrate;n methylscopolamine nitrate;nitrate n-methylscopolamine;methylscopolamine nitrate;nitrate methylscopolamine;skopyl;ulix;dd-234;dd 234;dd234;n-methylscopolamine methylchloride;methylchloride n-methylscopolamine;n methylscopolamine methylchloride","1"
"d012601","scopolamine","scopolamine;hyoscine;transderm scop;scopoderm tts;transderm-v;transderm v;travacalm ho;vorigeno;boro-scopol;boro scopol;isopto hyoscine;kwells;scoburen;scopace;scopolamine cooper;scopolamine hydrobromide","1"
