"id","name","terms"
"d001672","biocompatible materials","biocompatible materials;biocompatible material;material biocompatible;biomaterials;biomaterial;bioartificial materials;bioartificial material;material bioartificial;hemocompatible materials;hemocompatible material;material hemocompatible"
"d001843","bone cements","bone cements;cements bone;bone pastes;pastes bone;bone paste;paste bone;bone glue;glue bone;bone glues;glues bone"
"d002326","cariogenic agents","cariogenic agents;agents cariogenic"
"d002327","cariostatic agents","cariostatic agents;agent cariostatic;agents cariostatic;cariostatic agent;cariostatic effect;effect cariostatic;effects cariostatic;cariostatic effects"
"d058567","photoinitiators dental","photoinitiators dental;dental photoinitiator;dental photoinitiators;photoinitiator dental;resin photoinitiators dental;dental resin photoinitiator;dental resin photoinitiators;photoinitiator dental resin;photoinitiators dental resin;resin photoinitiator dental"
"d057872","pulp capping and pulpectomy agents","pulp capping and pulpectomy agents;pulp capping agents;agent pulp capping;agents pulp capping;capping agent pulp;capping agents pulp;pulp capping agent;pulpectomy agents;agent pulpectomy;agents pulpectomy;pulpectomy agent"
"d003764","dental materials","dental materials;materials dental;dental material;material dental"
"d000067548","dermal fillers","dermal fillers;fillers dermal;skin filler;filler skin;skin fillers;fillers skin;dermal filler;filler dermal"
"d009067","mouthwashes","mouthwashes;mouth rinse;mouth rinses;rinse mouth;rinses mouth;mouth bath;bath mouth;baths mouth;mouth baths;mouth wash;wash mouth"
"d000080743","shape memory alloys","shape memory alloys;alloy shape memory;shape memory alloy;shape-memory alloys;alloy shape-memory;shape-memory alloy"
"d000080762","stimuli responsive polymers","stimuli responsive polymers;polymer stimuli responsive;responsive polymer stimuli;stimuli responsive polymer;smart polymers;polymer smart;smart polymer;stimuli-sensitive polymers;polymer stimuli-sensitive;stimuli sensitive polymers;stimuli-sensitive polymer;stimuli-responsive polymers;polymer stimuli-responsive;stimuli-responsive polymer;stimulus-responsive polymers;polymer stimulus-responsive;stimulus responsive polymers;stimulus-responsive polymer;stimuli responsive materials;material stimuli responsive;responsive material stimuli;stimuli responsive material;stimuli-responsive materials;material stimuli-responsive;stimuli-responsive material"
"d000080745","smart materials","smart materials;intelligent materials;adaptive materials;shape memory polymers;shape-memory polymers;shape memory materials;shape-memory materials;actuating materials;sensing materials"
"d014014","tissue adhesives","tissue adhesives;adhesive tissue;adhesives tissue;tissue adhesive"
"d001697","biomedical and dental materials",""
"d002424","caustics","caustics;corrosives"
"d002863","chromogenic compounds","chromogenic compounds;compounds chromogenic;chromogenic substrates;substrates chromogenic"
"d005456","fluorescent dyes","fluorescent dyes;dyes fluorescent;fluorescence agents;agents fluorescence;fluorescent agents;agents fluorescent;fluorochromes;fluorogenic substrate;substrate fluorogenic;fluorescent probes;probes fluorescent"
"d005505","food coloring agents","food coloring agents;food colorants;colorants food;coloring agents food;agents food coloring"
"d006202","hair dyes","hair dyes;dyes hair;hair colorants;colorants hair;coloring agents hair;agents hair coloring;hair coloring agents"
"d004396","coloring agents","coloring agents;organic pigments;pigments organic;stains;tissue stains;stains tissue;dyes;pigments inorganic;inorganic pigments"
"d003287","contrast media","contrast media;media contrast;contrast agent;agent contrast;contrast materials;materials contrast;contrast agents;agents contrast;contrast material;material contrast;radiocontrast media;media radiocontrast;radiocontrast agent;agent radiocontrast;radiocontrast agents;agents radiocontrast;radiopaque media;media radiopaque"
"d051520","antiperspirants","antiperspirants;antiperspirant"
"d000068937","cosmeceuticals",""
"d003802","dentifrices","dentifrices;dentifrice;dental polishes;polishes dental"
"d003836","deodorants","deodorants;deodorant"
"d058206","hair bleaching agents","hair bleaching agents;agents hair bleaching;bleaching agents hair;hair lightening agents;agents hair lightening;lightening agents hair"
"d006203","hair preparations","hair preparations;preparations hair;cosmetics hair;hair cosmetics"
"d010476","perfume",""
"d062327","skin lightening preparations","skin lightening preparations;lightening preparation skin;lightening preparations skin;preparation skin lightening;preparations skin lightening;skin lightening preparation;depigmenting agents;agent depigmenting;agents depigmenting;depigmenting agent;skin whitening agents;agent skin whitening;agents skin whitening;skin whitening agent;whitening agent skin;whitening agents skin;skin bleaching agents;agent skin bleaching;agents skin bleaching;bleaching agent skin;bleaching agents skin;skin bleaching agent;skin depigmenting agents;agent skin depigmenting;agents skin depigmenting;depigmenting agent skin;depigmenting agents skin;skin depigmenting agent"
"d013473","sunscreening agents","sunscreening agents;agents sunscreening;sunscreens"
"d003358","cosmetics","cosmetics;personal care products;care product personal;care products personal;personal care product;product personal care;products personal care"
"d018639","contact lens solutions","contact lens solutions;lens solutions contact;solutions contact lens;contact lens solution;lens solution contact;solution contact lens;contact lens cleaners;cleaners contact lens;lens cleaners contact;disinfectants contact lens;contact lens disinfectants;lens disinfectants contact;contact lens disinfectant solutions;contact lens cleaning solutions"
"d012388","root canal irrigants","root canal irrigants;canal irrigants root;irrigants root canal;root canal medicaments;canal medicaments root;medicaments root canal"
"d019551","dental disinfectants","dental disinfectants;disinfectants dental"
"d064548","hand sanitizers","hand sanitizers;hand disinfectants;hand antiseptics"
"d004202","disinfectants","disinfectants;biocides"
"d053834","explosive agents","explosive agents;agents explosive;explosives"
"d005404","fixatives","fixatives;pickling agents;agents pickling"
"d005411","flame retardants","flame retardants;retardants flame;fire retardants;retardants fire;fireproofing agents;agents fireproofing"
"d019358","fat substitutes","fat substitutes;fat substitute;substitute fat;substitutes fat;artificial fats;artificial fat;fat artificial;fats artificial"
