"meshID","name","terms"
"d018647","amber",
"d001453","balsams",
"d065260","frankincense","olibanum resin","frankincense resin","olibanum"
"d006138","guaiac",
"","osmanthus",
"d011429","propolis","bee glue","bee bread"
"d014304","triolein","trielaidin","trioleoylglycerol","trioleyl glycerol","glycerol trioleate","trioleate glycerin"
"d014425","turpentine","turpentine oil"
"","almond oil",
"","amyris oil",
"","anise oil",
"","basil oil",
"","bay oil",
"","bergamot oil",
"","cananga oil",
"","caraway oil",
"","cardamom oil",
"","cassia oil",
"d002368","castor oil",
"","cedarleaf oil",
"","cinnamon oil",
"d045783","clove oil",
"d000074263","coconut oil",
"","coriander oil",
"d003314","corn oil","maize oil","lipomul"
"d003369","cottonseed oil","cottonseed"
"d003436","croton oil",
"d004998","ethiodized oil","ethiodized oil injection","ethiodol","lipiodol","lipiodol ultrafluid","ethiodized poppy seed oil"
"d000078122","eucalyptus oil","eucalyptus globulus oil"
"d005224","fats unsaturated","oils unsaturated"
"","fennel oil",
"","galbanum oil",
"","geranium oil",
"","ginger oil",
"","grapefruit oil",
"d007459","iodized oil","iodolipol"
"","jasmine oil",
"","juniper oil",
"","labdanum oil",
"","lavandin oil",
"","lavender oil",
"","lemon oil",
"","lime oil",
"d008043","linseed oil","flaxseed oil"
"d000069997","mastic resin","gum mastic","mastisol"
"","mentha oil",
"","myrrh oil",
"","neroli oil",
"d009822","oils volatile","oils essential"
"","olibanum oil",
"d000069463","olive oil",
"","orange oil",
"","origanum oil",
"","orris oil",
"d000073878","palm oil","palmolein"
"","patchouli oil",
"d000074241","peanut oil","oil ground nut","oil arachis"
"","peppermint oil",
"","pine oil",
"d010938","plant oils","oils vegetable"
"d000074262","rapeseed oil","canola oil","low erucic acid rapeseed oil","lear oil","canadian oil"
"d012116","resins plant",
"d012277","ricinoleic acids","acids 12 hydroxy oleic"
"","rose oil",
"","rosemary oil",
"","rosewood oil",
"d012450","safflower oil",
"d012715","sesame oil",
"d013024","soybean oil","soy bean oil","soya oil"
"","spearmint oil",
"","spike oil",
"d000074242","sunflower oil","seed oil sunflower"
"","tagetes oil",
"","thyme oil",
"","tobacco oil",
"","tolu balsam",
"","vetiver oil",
"","wintergreen oil",
"","bitter orange oil",
"","black pepper oil",
"","cedarwood oil texas",
"","cedarwood oil virginia",
"","cinnamon leaf oil",
"","citronella oil ceylon",
"","citronella oil java",
"","clary sage oil",
"d003060","cod liver oil",
"","nutmeg oil indonesia",
"","oakmoss oil yugoslavia",
"","olibanum oil somalia",
"","palmarosa oil india",
"","petitgrain bigarade oil",
"","pimento berry oil",
"d000073879","rice bran oil",
"","roman chamomile oil",
"","sage oil dalmatian",
"","sage oil spanish",
"d020947","tea tree oil","melaleuca alternifolia oil"
"","ylang ylang oil",
"","sandalwood oil east indian",
"","star anise oil china",
"","star anise oil vietnam",
