"id","name","terms"
"d029972","bupleurum","bupleurum;bupleurums;hares ear;ear hares;ears hares;hare ear;hares ears;hares ear;saiko;saikos;chai hu;chai hus;hu chai;hus chai"
"d029974","carum","carum;carums;carum carvi;carum carvus;carvus carum;caraway;caraways;carum copticum;carum copticums;copticum carum;ajowan;ajowans"
"d028041","centella","centella;centellas;hydrocotyle;hydrocotyles;centella asiatica;centella asiaticas;asiatica centella;gotu kola;gotu kolas;kola gotu;mandukaparni;mandukaparnus;hydrocotyle asiatica;hydrocotyle asiaticas;asiaticas hydrocotyle"
"d029981","cicuta","cicuta;cicutas;hemlock water;water hemlock;hemlocks water;water hemlocks;cicuta major;cicuta majors;majors cicuta;cicuta virosa;cicuta virosas;virosas cicuta;cicuta maculata;cicuta maculatas;maculatas cicuta;hemlock spotted water;hemlocks spotted water;spotted water hemlock;spotted water hemlocks;water hemlock spotted;water hemlocks spotted"
"d031048","cnidium","cnidium;cnidiums;cnidium monnieri;cnidium monnierus;monnierus cnidium"
"d029982","conium","conium;coniums;hemlock poison;poison hemlock;hemlocks poison;poison hemlocks;conium maculatum;conium maculatums;maculatums conium"
"d028526","coriandrum","coriandrum;coriandrums;coriander;corianders;cilantro;cilantros;coriandrum sativum;coriandrum sativums;sativums coriandrum"
"d028527","cuminum","cuminum;cuminums;cuminum cyminum;cuminum cyminums;cyminums cuminum;cumin;cumins"
"d018552","daucus carota","daucus carota;carrots;carrot;daucus"
"d031049","eryngium","eryngium;eryngiums;holly sea;sea holly;hollies sea;sea hollies"
"d005309","ferula","ferula;ferulas;ferula hermonis;ferula hermoni;hermonis ferula;ferula harmonis;ferula harmoni;harmonis ferula;zallouh;zallouhs;ferula foetida;ferula foetidas;foetida ferula;asafoetida;asafoetidas;asa-foetida;asa foetida;asa-foetidas;asafetida;asafetidas"
"d030001","foeniculum","foeniculum;foeniculums;foeniculum vulgare;foeniculum vulgares;vulgares foeniculum;fennel;fennels"
"d018652","hemlock","hemlock;hemlocks"
"d030002","heracleum","heracleum;heracleums"
"d030003","levisticum","levisticum;levisticums;levisticum officinale;levisticum officinales;officinales levisticum;lovage;lovages"
"d030004","ligusticum","ligusticum;ligusticums;lovage alpine;alpine lovage;alpine lovages;lovages alpine"
"d031050","oenanthe","oenanthe;oenanthes;water dropwort;dropworts water;water dropworts;dropwort water"
"d028529","pastinaca","pastinaca;pastinacas;parsnips;parsnip;pastinaca sativa;pastinaca sativas;sativas pastinaca"
"d028528","petroselinum","petroselinum;petroselinums;parsley;parsleys;petroselinum crispum;petroselinum crispums;crispum petroselinum"
"d028042","pimpinella","pimpinella;pimpinellas;pimpinella anisum;pimpinella anisums;anisums pimpinella;anise;anises"
