"id","name","terms"
"d000036","abrin","abrin;abrin c;abrin a"
"d012276","ricin","ricin;lectin castor bean;rca60;ricinus toxin;toxin ricinus;rca 60;castor bean lectin;lectin ricinus;ricinus lectin;ricin i;ricin d;ricin a chain;a chain ricin;ricin b chain;b chain ricin"
"d022621","shiga toxin","shiga toxin;toxin shiga;shigella toxin;toxin shigella;stx protein shigella dysenteria;stx protein;shigella cytotoxin;cytotoxin shigella"
"d022622","shiga toxin 1","shiga toxin 1;shiga-like toxin i;shiga like toxin i;slt-i;slt i;vt1 cytotoxin;stx1 protein;protein stx1;verocytotoxin 1;verotoxin i;vero cytotoxin vt1;slti"
"d022641","shiga toxin 2","shiga toxin 2;shiga toxin 2 escherichia coli;shiga-like toxin ii;vt2 cytotoxin;cytotoxin vt2;sltii;stx2 protein;vero cytotoxin vt2;verotoxin 2;shiga like toxin ii;slt-ii;slt ii"
"d022603","shiga toxins","shiga toxins;toxins shiga;vero cell cytotoxin;cytotoxin vero cell;vero cell cytotoxins;cell cytotoxins vero;cytotoxins vero cell;verotoxins;vero cytoxins;cytoxins vero;vero toxin;toxin vero;vero toxins;toxins vero;verotoxin;shiga-like toxins;shiga like toxins;toxins shiga-like;vero cytotoxin;cytotoxin vero"
"d054790","ribosome inactivating proteins type 2",""
"d003208","concanavalin a",""
"d019887","peanut agglutinin","peanut agglutinin;agglutinin peanut;peanut lectin;lectin peanut"
"d010835","phytohemagglutinins","phytohemagglutinins;lectins kidney bean;phaseolus vulgaris lectins;lectins phaseolus vulgaris;vulgaris lectins phaseolus;kidney bean lectins;bean lectins kidney"
"d011043","pokeweed mitogens","pokeweed mitogens;mitogens pokeweed;lectins pokeweed;pokeweed lectins;pokeweed mitogen isolectin;isolectin pokeweed mitogen;mitogen isolectin pokeweed"
"d018998","wheat germ agglutinin-horseradish peroxidase conjugate","wheat germ agglutinin-horseradish peroxidase conjugate;wheat germ agglutinin horseradish peroxidase conjugate;wga-hrp"
"d014909","wheat germ agglutinins","wheat germ agglutinins;agglutinins wheat germ;lectins triticum vulgare;triticum vulgare lectins;lectins wheat germ;wheat germ lectins;wheat germ agglutinin isolectin 2;wheat germ agglutinin isolectin 1"
"d037121","plant lectins","plant lectins;lectins plant;agglutinins plant;phytagglutinins;plant agglutinins;hemagglutinins plant;plant hemagglutinins"
"d000077743","diterpene alkaloids","diterpene alkaloids;alkaloids diterpene"
"d000157","aconitine","aconitine;acetylbenzoylaconine;acetylbenzoyl-aconine;acetylbenzoyl aconine;aconitane-38131415-pentol 20-ethyl-1616-trimethoxy-4-methoxymethyl- 8-acetate 14-benzoate 1alpha3alpha6alpha14alpha15alpha16beta-"
"d016607","aflatoxin m1","aflatoxin m1;4-hydroxyaflatoxin b1;4 hydroxyaflatoxin b1;aflatoxin m1 cis--isomer;aflatoxin m"
"d000348","aflatoxins","aflatoxins;aflatoxin"
