"meshID","name","terms","matched"
"","1-decanol","","0"
"","1-naphthaleneacetic acid sodium salt","","0"
"","1-naphthylacetic acid","","0"
"","12-dichloropropane","","0"
"","13-dichloropropene","","0"
"","14-dichlorobenzene","","0"
"","2-octylthioethanol","","0"
"","2-hydroxybiphenyl","","0"
"","2-methyl-4-chlorophenoxybutyric acid","","0"
"","2-napthyloxyacetic acid","","0"
"","236-tba","","0"
"","24-db","","0"
"","24-dichlorophenoxyacetate","","0"
"","24-dp","","0"
"d000075182","agent orange","agent orange;orange agent;24-dichlorophenoxyacetic acid butyl ester mixt with butyl 245-trichlorophenoxyacetate;24-d - 245-t mixture","1"
"d015084","24-dichlorophenoxyacetic acid","24-dichlorophenoxyacetic acid;24 dichlorophenoxyacetic acid;24-d;24-dichlorophenoxyacetic acid ammonium salt;monosan;24-dichlorophenoxyacetic acid sodium salt;24-dichlorophenoxyacetic acid potassium salt;24-dichlorophenoxyacetic acid lithium salt","1"
"d004976","ethacrynic acid","ethacrynic acid;acid ethacrynic;etacrynic acid;acid etacrynic;ethacrinic acid;acid ethacrinic;hydromedin;edecrin;ethacrynate sodium;sodium ethacrynate;ethacrynic acid sodium salt","1"
"d008456","2-methyl-4-chlorophenoxyacetic acid","2-methyl-4-chlorophenoxyacetic acid;2 methyl 4 chlorophenoxyacetic acid;mcpa;methoxone;agroxone","1"
"d015085","245-trichlorophenoxyacetic acid","245-trichlorophenoxyacetic acid;245-t","1"
"d006218","halofenate","halofenate;mk-185;mk 185;mk185","1"
"d002504","meclofenoxate","meclofenoxate;centrophenoxine;meclofenoxate hydrochloride;cetrexin;helfergin;atsefen;cerutil","1"
"d013989","ticrynafen","ticrynafen;tienilic acid;acid tienilic;thienylic acid;acid thienylic;skf-62698;skf 62698;skf62698;anp-3624;anp 3624;anp3624;selacryn","1"
"d010642","phenoxyacetates","","1"
"","4-chlorophenoxyacetate","","0"
"","6-benzylaminopurine","","0"
"d002629","chemosterilants","","1"
"d005659","fungicides industrial","fungicides industrial;industrial fungicides","1"
"d003678","defoliants chemical","defoliants chemical;chemical defoliants","1"
"d006540","herbicides","herbicides;algicides;algaecides","1"
"d007302","insect repellents","insect repellents;repellents insect","1"
"d007306","insecticides","","1"
"d008975","molluscacides","","1"
"d010573","pesticide residues","pesticide residues;pesticide residue;residue pesticide;residues pesticide","1"
"d010574","pesticide synergists","pesticide synergists;synergists pesticide","1"
"d012378","rodenticides","","1"
"d010575","pesticides","","1"
"d056810","acaricides","acaricides;miticide;mite control agent;agent mite control;control agent mite","1"
"","acephate","","0"
"","acequinocyl","","0"
"","acetamiprid","","0"
"","acetochlor","","0"
"","acifluorfen","","0"
"","acrinathrin","","0"
"d000171","acrolein","acrolein;acraldehyde;ethylene aldehyde;aldehyde ethylene;acrylic aldehyde;aldehyde acrylic;allyl aldehyde;aldehyde allyl;2-propenal;2 propenal;acrylaldehyde;aqualin","1"
"d001547","benzaldehydes","","1"
"d005566","formocresols","","1"
"d005557","formaldehyde","formaldehyde;oxomethane;methanal;formol;formalin","1"
"d005662","furaldehyde","furaldehyde;furfural","1"
"d005976","glutaral","glutaral;glutardialdehyde;glutaraldehyde;gludesin;glutarol;korsolex;sekumatic;cidex;sonacide;sporicidin;diswart;novaruca","1"
"d005986","glyceraldehyde 3-phosphate","glyceraldehyde 3-phosphate;glyceraldehyde 3 phosphate;3-phosphoglyceraldehyde;3 phosphoglyceraldehyde","1"
"d005985","glyceraldehyde","","1"
"d010658","phenylglyoxal","","1"
"d011765","pyruvaldehyde","pyruvaldehyde;methylglyoxal;pyruvic aldehyde;aldehyde pyruvic;acetylformaldehyde;oxopropanal","1"
"d006037","glyoxal","glyoxal;ethanedial;ethanedione","1"
"d017392","thiobarbituric acid reactive substances","thiobarbituric acid reactive substances;tbars","1"
"d008315","malondialdehyde","malondialdehyde;propanedial;malonyldialdehyde;malonaldehyde;malonylaldehyde;sodium malondialdehyde;malondialdehyde sodium","1"
"d000081203","monoterpene aldehydes and ketones","monoterpene aldehydes and ketones;monoterpene ketones;ketones monoterpene;monoterpene aldehydes;aldehydes monoterpene","1"
"d009764","o-phthalaldehyde","o-phthalaldehyde;o phthalaldehyde;orthophthaldialdehyde;o-phthaldialdehyde;o phthaldialdehyde;ortho-phthalaldehyde;ortho phthalaldehyde;ortho-phthalic aldehyde;aldehyde ortho-phthalic;ortho phthalic aldehyde","1"
"d012172","retinaldehyde","retinaldehyde;vitamin a aldehyde;aldehyde vitamin a;retinene;axerophthal;retinal;11-cis-retinal;11 cis retinal","1"
"d010242","paraldehyde","","1"
"d000079","acetaldehyde","acetaldehyde;ethanal","1"
"d000447","aldehydes","","1"
"d000629","aminopropionitrile","aminopropionitrile;beta-aminopropionitrile;beta aminopropionitrile;bapn","1"
"d000678","amygdalin","amygdalin;mandelonitrile-beta-gentiobioside;mandelonitrile beta gentiobioside;neoamygdalin;amygdaloside;laetrile","1"
"d000077384","anastrozole","anastrozole;22-5-1h-124-triazol-1-ylmethyl-13-phenylenebis2-methylpropionitrile;anastrazole;arimidex;ici d1033;zd-1033;zd 1033;zeneca zd 1033;zd1033","1"
"d002258","carbonyl cyanide m-chlorophenyl hydrazone","carbonyl cyanide m-chlorophenyl hydrazone;carbonyl cyanide meta-chlorophenyl hydrazone;carbonyl cyanide meta chlorophenyl hydrazone;cccp;carbonyl cyanide m chlorophenyl hydrazone","1"
"d002259","carbonyl cyanide p-trifluoromethoxyphenylhydrazone","carbonyl cyanide p-trifluoromethoxyphenylhydrazone;cyanide p-trifluoromethoxyphenylhydrazone carbonyl;p-trifluoromethoxyphenylhydrazone carbonyl cyanide;carbonyl cyanide p trifluoromethoxyphenylhydrazone;fccp;4-trifluoromethoxyphenylhydrazonopropanedinitrile;carbonyl cyanide para-trifluoromethoxyphenylhydrazone;carbonyl cyanide para trifluoromethoxyphenylhydrazone;cyanide para-trifluoromethoxyphenylhydrazone carbonyl;para-trifluoromethoxyphenylhydrazone carbonyl cyanide","1"
"d002015","bucrylate","bucrylate;isobutylcyanoacrylate;isobutyl cyanoacrylate;cyanoacrylate isobutyl;isobutyl-2-cyanoacrylate;isobutyl 2 cyanoacrylate;bucrilate;isobutyl alpha-cyanoacrylate;isobutyl alpha cyanoacrylate;alpha-cyanoacrylate isobutyl","1"
