"meshID","name","terms","matched"
"","10-deacetylbaccatin iii","","0"
"","11-deoxytetrodotoxin","","0"
"","19-bromoaplysiatoxin","","0"
"d000036","abrin","abrin;abrin c;abrin a","1"
"","acanthifolicin","","0"
"","aconine","","0"
"d000157","aconitine","aconitine;acetylbenzoylaconine;acetylbenzoyl-aconine;acetylbenzoyl aconine;aconitane-38131415-pentol 20-ethyl-1616-trimethoxy-4-methoxymethyl- 8-acetate 14-benzoate 1alpha3alpha6alpha14alpha15alpha16beta-","1"
"","acromelic acid a","","0"
"","adolapin","","0"
"d016604","aflatoxin b1","aflatoxin b1;aflatoxin b1 6ar-cis-isomer 3h-labeled;aflatoxin b1 cis--isomer;hsdb-3453;hsdb 3453;hsdb3453;aflatoxin b1 6ar-cis-isomer 14c-labeled;aflatoxin b;aflatoxin b1 dihydrochloride 6ar-cis-isomer;aflatoxin b1 6ar-cis-isomer 2h-labeled;nsc-529592;nsc 529592;nsc529592","1"
"","aflatoxin b2","","0"
"","aflatoxin g1","","0"
"","aflatoxin g2","","0"
"d016607","aflatoxin m1","aflatoxin m1;4-hydroxyaflatoxin b1;4 hydroxyaflatoxin b1;aflatoxin m1 cis--isomer;aflatoxin m","1"
"d000348","aflatoxins","aflatoxins;aflatoxin","1"
"","aflatrem","","0"
"d020867","omega-agatoxin iva","omega-agatoxin iva;iva omega-agatoxin;omega agatoxin iva;omega-aga-iva;omega aga iva","1"
"d060848","agatoxins","agatoxins;mu-agatoxins;mu agatoxins;omega-agatoxins;omega agatoxins;alpha-agatoxins;alpha agatoxins","1"
"","agelenin","","0"
"","agitoxin 1","","0"
"","agroclavine","","0"
"","allopumiliotoxin 267a","","0"
"d053959","alpha-amanitin","alpha-amanitin;alpha amanitin;alpha-amanitine;alpha amanitine","1"
"","alpha-antiarin","","0"
"d002038","bungarotoxins","bungarotoxins;beta-bungarotoxin;beta bungarotoxin;kappa-bungarotoxin;kappa bungarotoxin;alpha-bungarotoxin;alpha bungarotoxin","1"
"","alpha-chaconine","","0"
"","alpha-ergocryptine","","0"
"","alpha-latrotoxin","","0"
"","alpha-pompilidotoxin","","0"
"","alpha-zearalanol","","0"
"","alpha-zearalenol","","0"
"","alternariol","","0"
"d000678","amygdalin","amygdalin;mandelonitrile-beta-gentiobioside;mandelonitrile beta gentiobioside;neoamygdalin;amygdaloside;laetrile","1"
"","anatoxin a","","0"
"","anatoxin as","","0"
"","anatoxins","","0"
"","anisatin","","0"
"","apamine","","0"
"","aplysiatoxin","","0"
"","aplysiatoxins","","0"
"","arenobufagin","","0"
"","argiopinin i","","0"
"","argiopinin ii","","0"
"","argiopinin iii","","0"
"","argiotoxin 659","","0"
"","aristolochic acid","","0"
"","asebotoxin ii","","0"
"d064692","hyoscyamine","hyoscyamine;atropine 3s-endo-isomer;cytospaz;hyoscyamine sulfate anhydrous;hyoscyamine hydrochloride;hyoscyamine sulfate;atropine sulfate 3s-endo-isomer;anaspaz;hyoscyamine hydrobromide","1"
"d001285","atropine","atropine;atropinol;atropine sulfate;sulfate atropine;atropine sulfate anhydrous;anhydrous atropine sulfate;sulfate anhydrous atropine;atropen;atropin augenl;augenl atropin","1"
