"d061645","abdominoplasty","abdominoplasties","panniculectomy","panniculectomies"
"d057128","aberrometry","aberrometries"
"d061725","accelerometry",
"d065526","acetabuloplasty","acetabuloplasties"
"d056044","actigraphy",
"d019050","acupressure","shiatsu","zhi ya","chih ya","shiatzu"
"d000233","adenoidectomy","adenoidectomies"
"d050154","adiposity",
"d000315","adrenalectomy","adrenalectomies"
"d000359","aftercare","after care","after treatment","follow up care","postabortion","postabortal program"
"d000541","alveolectomy","alveolectomies"
"d000543","alveoloplasty","alveoloplasties"
"d000646","ammotherapy","bath sand","sandbath"
"d000649","amniocentesis","amniocenteses"
"d000074885","amniotomy","artificial rupture of membranes"
"d000671","amputation",
"d000698","analgesia",
"d000758","anesthesia",
"d000790","angiocardiography","angiocardiographies"
"d000792","angiography","angiographies","angiogram","arteriography","arteriographies"
"d017130","angioplasty","angioplasties","endoluminal repair","transluminal angioplasty percutaneous","transluminal angioplasty"
"d020677","angioscopes",
"d017546","angioscopy","angioscopies","surgical procedure angioscopic","angioscopic surgery","angioscopic surgeries"
"d000886","anthropometry",
"d000887","anthroposophy",
"d001027","aortography","aortographies"
"d018806","apache","acute physiology and chronic health evaluation","apache ii","apache iii","apache i"
"d056624","apexification","apexogenesis","apexogeneses"
"d001047","apicoectomy","apicoectomies"
"d056705","apitherapy","apitherapies"
"d001062","appendectomy","appendectomies"
"d019341","aromatherapy","aromatherapies","aroma therapy","aroma therapies"
"d000069237","arthrocentesis","arthrocenteses","arthrocentesistemporomandibular joint","arthrocentesis tmj","arthrocenteses tmj","temporomandibular joint aspiration","arthrocenteses temporomandibular joint","arthrocentesis temporomandibular joint","joint aspirationtemporomandibular"
"d001174","arthrodesis","arthrodeses"
"d001175","arthrography","arthrographies"
"d001178","arthroplasty","arthroplasties","tunnel enlargement bone","tunnel widening bone"
"d020679","arthroscopes",
"d001182","arthroscopy","arthroscopies","surgical procedure arthroscopic","arthroscopic surgery","surgeries arthroscopic"
"d016477","artifacts","artefact"
"d017073","atherectomy","atherectomies","percutaneous atherectomy","atherectomies percutaneous","percutaneous transluminal atherectomy","transluminal atherectomies percutaneous","atherectomies transluminal","atherectomy transluminal"
"d001297","audioanalgesia",
"d001299","audiometry","audiometries"
"d055097","auriculotherapy","auriculotherapies"
"d001314","auscultation",
"d001322","autoanalysis","autoanalyses"
"d032762","autoexperimentation","self experimentation"
"d001344","autopsy","post mortem examination","postmortem examination","autopsies"
"d001345","autoradiography","radioautography"
"d001346","autosuggestion",
"d019771","axotomy","axotomies"
"d001450","ballistocardiography","ballistocardiographies"
"d001452","balneology","balneotherapy"
"d001458","bandages","dressing"
"d049088","bariatrics",
"d001494","baths",
"d001513","beds","mattresses"
"d001638","bibliotherapy","bibliotherapies"
"d019470","biolistics","gene gun technique","particle mediated epidermal delivery of dna","gene gun dna immunization"
"d001699","biometry",
"d062028","bioprinting",
"d065132","bioprospecting","biopanning"
"d001705","bioprosthesis","bioprostheses","heterograft bioprosthesis","bioprostheses heterograft","xenograft bioprosthesis","bioprostheses xenograft","porcine xenograft bioprosthesis","xenograft bioprostheses porcine","glutaraldehyde stabilized graft"
"d001706","biopsy","biopsies"
"d019149","bioreactors","fermentor"
"d056808","biostatistics","biological statistic"
"d019921","biotinylation",
"d019882","blepharoplasty","blepharoplasties"
"d001815","bloodletting",
"d001915","braces",
"d001918","brachytherapy","radioisotope brachytherapy","curietherapy","therapy radioisotope plaque","radiotherapy surface","intracavity radiotherapy","interstitial radiotherapy","implant radiotherapy"
"d001947","breeding",
"d001995","bronchography","bronchographies"
"d020680","bronchoscopes",
"d001999","bronchoscopy","bronchoscopies","bronchoscopic surgical procedure","bronchoscopic surgery","bronchoscopic surgeries"
"d002000","bronchospirometry","bronchospirometries"
"d002138","calibration",
"d002151","calorimetry",
"d002183","canes","stick walking"
"d000072601","cannula","cannulae","nasal cannula","nasal cannulae"
"d019296","capnography","capnographies"
"d019923","capsulorhexis","capsulorrhexis"
"d018421","cardiomyoplasty","cardiomyoplasties","dynamic cardiomyoplasty","cardiomyoplasties dynamic"
"d015148","cardiotocography","monitoring electronic fetal","antepartum ctg","cardiotocography external","fetal monitoring external","cardiotocography internal","fetal monitoring internal","cardiotocogram"
"d002369","castration","gonadectomy","gonadectomies"
"d002398","catgut",
"d002404","catheterization","cannulation"
"d057785","catheters",
"d002425","cautery","cauterization"
"d002431","cecostomy","cecostomies","tube cecostomy","cecostomies tube"
"d002484","cementation",
"d060826","cementoplasty","cementoplasties","percutaneous cementoplasty","cementoplasties percutaneous","percutaneous osteoplasty","osteoplasties percutaneous"
"d002498","centrifugation",
"d002508","cephalometry","craniometry"
"d044964","cervicoplasty","reconstructive surgical procedures neck","plastic surgery neck","surgeries neck plastic"
"d002615","chemexfoliation","face peeling chemical"
"d018890","chemoprevention","chemoprophylaxis"
"d059248","chemoradiotherapy","chemoradiotherapies","radiochemotherapy","radiochemotherapies","concurrent chemoradiotherapy","chemoradiotherapies concurrent","synchronous chemoradiotherapy","chemoradiotherapies synchronous","concurrent radiochemotherapy","concurrent radiochemotherapies","concomitant chemoradiotherapy","chemoradiotherapies concomitant","concomitant radiochemotherapy","concomitant radiochemotherapies"
"d002758","cholangiography","cholangiographies"
"d002763","cholecystectomy","cholecystectomies"
"d002765","cholecystography","cholecystographies"
"d002767","cholecystostomy","cholecystostomies"
"d002768","choledochostomy","choledochostomies","choledochojejunostomy","choledochojejunostomies","choledojejunostomies","choledojejunostomy","choledochoduodenostomy","choledochoduodenostomies"
"d002845","chromatography","chromatographies"
"d002907","chronaxy","chronaxie"
"d019454","chronotherapy","chronotherapies"
"d002932","cineangiography","cineangiographies"
"d002933","cineradiography","cineradiographies","radiocinematography","radiocinematographies","cinefluorography","cinefluorographies"
"d013790","climatotherapy","climate therapy","thalassotherapy"
"d003082","colectomy","colectomies","large bowel resection","hemicolectomy","hemicolectomies"
"d020685","colonoscopes",
"d003113","colonoscopy","colonoscopies","surgical procedure colonoscopic","colonoscopic surgery","surgeries colonoscopic"
"d003124","colorimetry",
"d003125","colostomy","colostomies"
"d020681","colposcopes",
"d003127","colposcopy","colposcopies","surgical procedure colposcopic","colposcopic surgery","surgeries colposcopic"
"d020884","colpotomy","colpotomies","vaginotomy","vaginotomies"
"d017280","condoms","condom manufacture"
"d003217","conductometry","titration conductometric"
"d019092","conization","conisation"
"d063132","connectome","human connectome project","connectomic","connectome mapping","brain connectomic","human connectome"
"d003250","constriction","clamping"
"d003267","contraception","inhibition of fertilization","fertilization inhibition","fertility control","birth control","contraceptive method","female contraception","male contraception"
"d000075202","contraindications","contraindication medical","physical agent contraindication"
"d017218","cordocentesis","percutaneous umbilical blood sampling","cord blood sampling"
"d002818","cordotomy","cordotomies","chordotomy","chordotomies"
"d003378","counterimmunoelectrophoresis","immunoelectrophoresis crossover","immunoelectrophoresis countercurrent","electrosyneresis","immunoelectroosmophoresis"
"d015908","counterpulsation","counterpulsation external","diastolic counterpulsation"
"d003399","craniotomy","craniotomies","craniectomy","craniectomies"
"d003442","crowns","dental crown"
"d003446","crutches",
"d050785","cryoanesthesia","refrigeration anesthesia"
"d015925","cryopreservation","cryofixation","cryonic suspension"
"d003452","cryosurgery","cryosurgeries","cryoablation"
"d017679","cryotherapy","cryotherapies","therapy cold","cold therapies"
"d016616","cryoultramicrotomy","cryosectioning","freeze sectioning"
"d003460","crystallization","crystal growth","polymorphism crystallization","crystal polymorphic","crystalline polymorph"
"d003461","crystallography","crystallographies"
"d020683","culdoscopes",
"d003464","culdoscopy","culdoscopies","surgical procedure culdoscopic","culdoscopic surgery","surgeries culdoscopic"
"d003475","curettage",
"d017357","cyclotrons","synchrocyclotron"
"d015653","cystectomy","cystectomies"
"d000070621","cystography","cystographies","cystogram"
"d020684","cystoscopes",
"d003558","cystoscopy","cystoscopies","surgical procedure cystoscopic","cystoscopic surgery","surgeries cystoscopic"
"d003559","cystostomy","cystostomies","vesicostomy","vesicostomies","suprapubic cystostomy","cystostomies suprapubic"
"d053715","cystotomy","cystotomies","vesicotomy","vesicotomies"
"d016238","cytapheresis","cytaphereses"
"d003581","cytodiagnosis","cytodiagnoses"
"d003592","cytophotometry","cytophotometries","microfluorometry","microfluorometries"
"d003608","dacryocystorhinostomy","dacryocystorhinostomies","dacryocystostomy","dacryocystostomies"
"d003646","debridement",
"d003664","decompression",
"d019841","defecography","defecographies"
"d047548","defibrillators","electric shock cardiac stimulators","stimulators electrical cardiac shock","external defibrillator automated","defibrillator external"
"d003688","deinstitutionalization","deinstitutionalized person"
"d050091","dendrimers","dendrons","dendrimer","dendritic polymer"
"d003714","denervation","laser neurectomy","laser neurectomies","radiofrequency neurotomy","neurotomies radiofrequency","neurectomy","neurectomies","peripheral neurectomy","neurectomies peripheral"
"d003720","densitometry","densitometries"
"d003813","dentistry",
"d003778","dentures",
"d000069340","deprescriptions","deprescribing"
"d003869","dermabrasion",
"d003878","dermatoglyphics","plantar print","fingerprint"
"d046169","dermoscopy","dermoscopies","dermatoscopy","dermatoscopies","skin surface microscopy","surface microscopies skin","epiluminescence microscopies","microscopy epiluminescence"
"d003890","desiccation","dessication"
"d003933","diagnosis","diagnoses","diagnoses and examinations","postmortem diagnosis","diagnoses postmortem","antemortem diagnosis","antemortem diagnoses"
"d003956","dialysis","dialyses"
"d003972","diathermy","diathermies"
